,Norm of every face in the DB,Names
80,1.3987555285724773,Stefan
81,1.377060613305203,Stefan
82,1.4061908874563833,Stefan
83,1.4138376308055314,Stefan
84,1.4216943584329524,Stefan
85,1.3904009837144482,Stefan
86,1.4124031766211604,Stefan
87,1.4061305858887774,Stefan
88,1.4186427175723373,Stefan
89,1.4208720951023488,Stefan
90,1.4289475353055554,Stefan
91,1.4225259383285496,Stefan
92,1.4277299212045598,Stefan
93,1.3889729364553967,Stefan
94,1.3842620852491774,Stefan
95,1.4025792589918498,Stefan
96,1.3805965073093753,Stefan
97,1.4783180756309677,Stefan
98,1.4113569215780608,Stefan
99,1.446291405269135,Stefan
100,1.4109228342475488,Stefan
101,1.4241113451047667,Stefan
102,1.4485941128909121,Stefan
103,1.4069220336620183,Stefan
104,1.3903346883830874,Stefan
105,1.470157703893068,Stefan
106,1.4290239722850853,Stefan
107,1.409548333955123,Stefan
108,1.4409211809255944,Stefan
109,1.3921037029759378,Stefan
110,1.4222145337397163,Stefan
111,1.405015551319898,Stefan
112,1.377571162549902,Stefan
113,1.4452164149545788,Stefan
114,1.3920136875078484,Stefan
115,1.3530304244296614,Stefan
116,1.424660913831349,Stefan
117,1.3794925186052613,Stefan
118,1.3999933606737098,Stefan
119,1.3590077772687743,Stefan
120,1.3772070056961907,Stefan
121,1.3898597825343595,Stefan
122,1.3796792047398372,Stefan
123,1.4015475241605395,Stefan
124,1.385453079040792,Stefan
125,1.3767733755281186,Stefan
126,1.3789040334616511,Stefan
127,1.3654078805136878,Stefan
128,1.385477226413784,Stefan
129,1.4110092679267385,Stefan
130,1.4072951139520629,Stefan
131,1.372673622744447,Stefan
132,1.3903167375931325,Stefan
133,1.403956619443338,Stefan
134,1.4213890535771878,Stefan
135,1.4120643149190863,Stefan
136,1.4177635093599452,Stefan
137,1.4394800544622728,Stefan
138,1.3935427072989917,Stefan
139,1.406240725540699,Stefan
140,1.367881224826025,Stefan
141,1.3983180249581784,Stefan
142,1.3879733400003473,Stefan
143,1.4139470899679514,Stefan
144,1.4205445052154138,Stefan
145,1.3853106791737544,Stefan
146,1.399642070430024,Stefan
147,1.4460246378536439,Stefan
148,1.3996483569368279,Stefan
149,1.3932020293154348,Stefan
150,1.3405610504705912,Stefan
151,1.4103539953310642,Stefan
152,1.4186770882236215,Stefan
153,1.4244062692185036,Stefan
154,1.351038234881222,Stefan
155,1.40254704260572,Stefan
156,1.4153666016332904,Stefan
157,1.3703146603620604,Stefan
158,1.4296213223725223,Stefan
159,1.4295350862434113,Stefan
160,1.4031183832942737,Stefan
161,1.4464675273446466,Stefan
162,1.4302435156084032,Stefan
163,1.4137798927201595,Stefan
